y,np_variabel,tids_fe,bruksareal,innt_form,innt_enhet,spot_enhet,gradtall,vekting,utvalg,N,n_kommuner,b_egd,b_spot_enhet,b_np,b_innt_enhet,r2_within,r2_overall,r2_ols_dummyer,mean_y,avvik_egd,avvik_spot,avvik_np,avvik_innt,avvik_r2,r2_variant,avvik_koef_sum,avstand
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,n_mp,alle,10047,197,0.0018648699164199355,-0.0003470588463081701,0.08667894003527483,0.000733441860120293,0.9590855871073457,0.11648680039070469,0.9973227704550128,15.495846165775767,0.018489517673718158,0.3058823073836598,0.05448832159701751,0.6943992249498779,0.02291551525954108,r2_within,1.0732593716042733,1.0961748868638144
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base18,n_mp,alle,10047,197,0.0018419046174586752,-0.0003298811498153785,0.08375530946237494,0.0007582065933368022,0.9589437036240238,0.06621563959145982,0.9973134863268379,15.495846165775767,0.030576517127013036,0.340237700369243,0.018921039688259717,0.6840805861096657,0.022764189018796743,r2_within,1.0738158432941813,1.0965800323129782
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base18,n_mp,alle,10047,197,0.0018419406342068021,-0.0003293222184150821,0.084559331190539,0.0007724497363111067,0.9589023292274905,0.12421669387600454,0.9973107789983203,15.495846165775767,0.030557560943788357,0.34135556316983584,0.02870232591896603,0.6781459432037055,0.022720061036146048,r2_within,1.0787613932362956,1.1014814542724416
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018702300305486667,-0.0003574070325793348,0.0867251292684793,0.0006559979838903802,0.9605723261959005,0.037079722738125875,0.9973119358136066,15.633253985393724,0.01566840497438592,0.2851859348413304,0.05505023440972398,0.7266675067123416,0.024501201147504807,r2_within,1.082572080937782,1.1070732820852867
log_kwh_per_maler,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,alle,10047,197,0.0018858137440503737,-0.00035065911564908223,0.08385944359095845,0.0005240243812402891,0.9407928189168352,0.25925397778968706,0.9496870826982775,6.896974484878452,0.007466450499803321,0.29868176870183555,0.020187878235504372,0.7816565078165463,0.0034053102781945446,r2_within,1.1079926052536895,1.111397915531884
log_kwh_per_maler,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,alle,10047,197,0.0018858449908387908,-0.0003508154786178412,0.08396098030541413,0.0005241408980742857,0.9407959920922315,0.282693173221062,0.9496897791906349,6.896974484878452,0.007450004821689046,0.29836904276431764,0.021423118070731554,0.7816079591357142,0.0034086946376189597,r2_within,1.1088501247924525,1.1122588194300715
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018703173721903847,-0.0003570151810923646,0.08766631035558406,0.0006722024917640982,0.9605168821936507,0.11069196117687308,0.9973081558027052,15.633253985393724,0.015622435689271229,0.2859696378152708,0.06650012598034141,0.7199156284316257,0.024442067186060935,r2_within,1.0880078279165093,1.1124498951025703
log_kwh,post_okt2025,ingen,med,lineaer,1000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0018892475554129142,-0.00038606346054405425,0.09958131793097419,0.0007988884389825136,0.9389943954370356,0.10285224258379722,0.9937058343757345,15.633253985393724,0.005659181361624125,0.2278730789118915,0.2114515563378856,0.6671298170906192,0.0014871964985447603,r2_within,1.1121136337020205,1.1136008302005653
log_kwh,post_okt2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,uvektet,egd_kommunestasjon,7869,170,0.0018894134135077005,-0.0003864697920535791,0.0998819223099243,0.0008009630579979639,0.9389681468309774,0.13871902589282137,0.9937031262135071,15.633253985393724,0.00557188762752607,0.22706041589284182,0.21510854391635417,0.6662653925008484,0.001459200971605602,r2_within,1.1140062399375705,1.1154654409091762
log_kwh,post_sep2025,ingen,uten,lineaer,1000_kr,ore_per_kwh,base17,n_mp,egd_kommunestasjon,7869,170,0.0018819652466898367,-0.00034520865152476036,0.0769037757799307,0.0006830594430791164,0.9599189692575106,0.11197358124033474,0.9972673918368115,15.633253985393724,0.009491975426401721,0.3095826969504793,0.06443095158235157,0.7153918987170348,0.023804361409461013,r2_within,1.0988975226762674,1.1227018840857284
